sentence1,sentence2,score,true_score
저는 클라우드 서비스와 관련된 광범위한 지식을 보유하고 있습니다.,클라우드 솔루션 개발에 경험이 있는 전문가를 찾습니다.,0.51,0.8
저는 유통 및 물류 관리에 대한 전문 지식을 가지고 있으며 이 분야에서의 경험이 풍부합니다.,데이터 사이언스와 머신 러닝 분야의 경험자를 채용하고자 합니다.,0.45,0.2
제 전문 분야는 인터페이스 디자인이며 사용자 경험을 최적화하는 데 중점을 두었습니다.,UI/UX 디자이너를 찾고 있으며 사용자 중심 디자인을 중시합니다.,0.73,0.85
저는 글로벌 마케팅 전략 개발에 강점을 가지고 있습니다.,네트워크 보안 분야에서 경험을 쌓은 전문가를 찾고 있습니다.,0.44,0.25
저는 AWS 클라우드 환경에서 다양한 웹 애플리케이션을 개발하고 최적화한 경험이 있습니다. 특히 서버리스 아키텍처와 리소스 관리에 중점을 두었습니다., AWS 등 클라우드 환경에서의 개발경험 웹 어플리케이션 성능을 최적화 해보신 분,0.6,0.9
저는 빅데이터 분석을 통해 비즈니스 인사이트를 도출하는 데 능숙합니다.,빅데이터 분석가를 찾고 있으며 데이터 주도적 의사결정을 중시합니다.,0.61,0.9
저는 재무 보고 및 회계 관리 분야에서 광범위한 경험을 가지고 있습니다.,프론트엔드 개발에 능한 개발자를 모집 중입니다.,0.21,0.1
저는 프론트엔드 개발에 있어 성능 최적화와 라이브러리화를 통해 효율성을 극대화하는 데 기여했습니다. 여러 프로젝트에서 반응형 디자인과 코드 재사용성에 중점을 두었습니다., 프론트엔드 성능 최적화 혹은 라이브러리화를 통한 생산성 향상에 기여하신 분,0.79,0.9
저는 컴퓨터 네트워킹 및 인프라 구축에 대한 전문 지식을 가지고 있습니다.,IT 인프라스트럭처 관리자를 찾고 있습니다.,0.49,0.8
저는 다년간 Android 및 iOS 플랫폼에서 다양한 모바일 애플리케이션을 개발한 경험이 있습니다. 이 경험을 통해 크로스 플랫폼 개발과 사용자 인터페이스 설계에 능숙해졌습니다, Android iOS App 개발 경험,0.56,0.9
저는 창의적인 콘텐츠 제작과 디지털 미디어 전략에 경험이 많습니다,소프트웨어 테스트 및 품질 보증 전문가를 모집합니다.,0.36,0.2
SSAFY 교육과정을 수료하며 다양한 프로그래밍 언어와 소프트웨어 개발 방법론에 대해 깊이 있게 학습했습니다. 이 과정에서 우수한 성적과 함께 실무적인 프로젝트 경험도 쌓았습니다.,SSAFY 교육과정에서 우수한 성적을 거두고 실무적인 개발 경험을 가진 인재를 찾고 있습니다.,0.55,0.95
저는 국제 프로그래밍 대회에서 우승한 경험이 있으며 이를 통해 팀워크와 복잡한 문제 해결 능력을 입증했습니다. 이 경험은 제 기술적 능력과 혁신적 사고를 강화했습니다.,대회에서의 우수한 성과를 보여준 경쟁력 있는 개발자를 찾고 있습니다.,0.36,0.9
저는 iOS와 Android 모바일 플랫폼에서 다양한 애플리케이션을 개발하며 각 플랫폼의 특성을 깊이 이해하고 최적화된 사용자 경험을 제공했습니다.,iOS 및 Android 모바일 플랫폼에 대한 이해와 경험이 있으신 분을 찾고 있습니다.,0.61,0.9
"저는 퀀트 트레이딩에서의 실제 경험을 통해 강력한 분석 능력을 발휘해 왔으며 특히 암호화폐 시장에 대한 깊은 이해와 통찰력을 가지고 있습니다.""",퀀트 트레이딩 경험 및 크립토 관련 높은 이해도를 보유하신 분을 찾고 있습니다.,0.69,0.95
저는 10년 이상의 경력을 가진 경험 많은 전문가로서 여러 프로젝트에서 팀장 역할을 수행하며 팀을 성공적으로 이끌어왔습니다,경력 10년 이상의 팀장급 인재를 우대합니다,0.5,0.95
현대오토에버에서 IT 기술과 현대자동차 브랜드 경험을 결합하여 사용자에게 더 넓은 범위의 서비스를 제공하고 싶습니다. 이러한 비전을 갖고 열정적으로 개발 업무에 임할 준비가 되어 있습니다.,현대오토에버에서 혁신적인 IT 솔루션을 통해 사용자 경험을 향상시킬 수 있는 창의적이고 열정적인 개발자를 찾고 있습니다.,0.73,0.85
"저는 Verilog를 사용한 RTL(레지스터 전송 레벨) 코딩에서 광범위한 경험을 가지고 있으며 복잡한 디지털 회로 설계 프로젝트를 성공적으로 수행했습니다.""",Verilog RTL 코딩 능력이 탁월한 엔지니어를 찾고 있습니다.,0.38,0.9
저는 데이터 분석과 가공에 능숙하며 이러한 역량을 활용해 게임 산업의 발전에 기여하고자 합니다.,비포플레이는 게이머들을 위한 게임 편의 서비스를 제공하면서 수집한 데이터를 가공하여 게임관련 개발사 마케터 게임 MCN등에 판매하는 비즈니스 모델을 가진 B2B 데이터 분석/판매 기업입니다,0.6,0.7
저는 웹 개발에 필요한 여러 프로그래밍 언어를 습득하고 최신 웹 기술을 지속적으로 배워왔습니다. 이를 통해 반응형 웹사이트와 복잡한 웹 애플리케이션을 성공적으로 개발했습니다.,웹 개발을 위해 필요한 다양한 언어와 기술을 습득한 경험이 있는 개발자를 찾고 있습니다.,0.81,0.8
저는 백엔드 개발자로서 제 역량을 강화하기 위해 전문적인 백엔드 교육과정을 이수했으며 이를 통해 최신 백엔드 기술과 프레임워크에 대한 심도 있는 지식을 습득했습니다.,백엔드 개발에 대한 심화된 지식과 교육을 수료한 개발자를 찾고 있습니다.,0.83,0.9
"단체 클립 사이트 프로젝트에서 Spring과 JPA를 활용한 백엔드 개발과 Jenkins Cloudflare CDN을 통한 인프라 관리를 담당했습니다. 이 프로젝트로 우수상을 수상하고 협업에서 베스트 멤버로 인정받았으며 SSAFY에서도 우수 교육생으로 선정되었습니다.""",Spring/JPA를 사용한 백엔드 개발 경험이 있고 Jenkins 및 Cloudflare CDN과 같은 인프라 관리에 능숙한 개발자를 찾고 있습니다.,0.7,0.9
저는 사용자 중심의 서비스를 개발하는 것에 큰 열정을 가지고 있으며 제가 만든 서비스가 타인에게 긍정적인 영향을 미칠 때 큰 만족감을 느낍니다. 이러한 경험은 저를 더욱 창의적이고 혁신적인 개발자로 성장하게 했습니다.,사용자의 필요를 충족시키는 서비스를 만드는데 열정을 가진 개발자를 찾고 있습니다.,0.47,0.85
저는 디지털 소외계층을 위해 키오스크 사용의 어려움을 해결하는 서비스를 개발하고 이를 통해 교내 대회에 참가하여 우수한 성과를 거두었습니다. 이 경험은 제가 사회적 가치를 창출할 수 있는 기술적 솔루션을 개발하는 데 역량을 집중할 수 있도록 도왔습니다,사회적 가치를 창출할 수 있는 혁신적인 서비스를 개발하는 데 관심이 있는 개발자를 찾고 있습니다,0.56,0.8
제 경험은 어려운 상황에 직면했을 때 냉정함을 유지하고 창의적인 해결책을 찾는 데 중요했습니다. 이를 통해 문제를 해결하고 도전적인 상황을 성공적으로 극복하는 능력을 키웠습니다.,어려움에 직면했을 때 창의적이고 효과적으로 문제를 해결할 수 있는 능력을 가진 전문가를 찾고 있습니다.,0.77,0.7
저는 프론트엔드 개발에 광범위한 경험을 가지고 있으며 특히 WebGL을 활용한 3D 그래픽스 개발에 능숙합니다. 이를 통해 사용자 인터페이스와 인터랙티브 웹 경험을 향상시키는 프로젝트들을 성공적으로 완수했습니다,프론트엔드 및 WebGL을 활용한 개발 경험이 있는 전문가를 찾고 있습니다,0.59,0.9
"글로벌 번역 서비스 스타트업에서 B2B 프로모션을 성공적으로 이끌었습니다. 이 경험을 통해 시장 분석 타깃 마케팅 전략 수립 및 고객 관계 관리 능력을 강화했습니다.""",글로벌 시장에서 B2B 프로모션 경험이 있는 마케팅 전문가를 찾고 있습니다,0.67,0.85
프로젝트 초기 단계에서는 몇 가지 시행착오를 겪었지만 팀원들과의 긴밀한 소통을 통해 문제를 신속하게 파악하고 해결하는 데 성공했습니다. 이 경험은 협업의 중요성과 함께 유연한 문제 해결 능력을 배우는 계기가 되었습니다,문제 해결에 능하고 팀워크를 중시하는 전문가를 찾고 있습니다,0.44,0.8
저는 국가보훈대상자로서 다년간의 전문적인 경험과 함께 탁월한 업무 능력을 보유하고 있으며 이러한 배경이 제 직무 수행에 긍정적인 영향을 미칠 것입니다.,국가보훈대상자 및 장애인 지원자는 관련 법률에 의해 우대합니다.,0.41,0.8
케이씨넷의 출범과 그 비전에 깊이 공감하며 UNI-PASS 시스템의 세계화를 위한 프로젝트에 기여하고 싶습니다. 제 IT 전문 지식과 경험을 통해 이 목표를 실현하는 데 일조하고자 합니다,케이씨넷에서 UNI-PASS 시스템의 세계화를 위해 함께 할 IT 전문가를 찾고 있습니다,0.73,0.85
저는 백엔드 개발자로서 긍정적인 태도와 원활한 커뮤니케이션 능력을 바탕으로 팀 분위기를 주도해왔습니다. 특히 아트 플랫폼 개발에서의 경험을 통해 협업을 강화하고 프로젝트를 성공적으로 이끌었습니다, 긍정적인 태도로 협업 및 원활한 커뮤니케이션 팀 분위기를 주도할 수 있는 분 아트 플랫폼 백엔드 개발자,0.78,0.9
